Id 	Season	City	Date	Team1	Team2	Winner	Player_of_match	Venue
98	2008	Delhi	5/15/2008	Delhi Daredevils	Deccan Chargers	Delhi Daredevils	A Mishra	Feroz Shah Kotla
99	2008	Mumbai	5/16/2008	Kolkata Knight Riders	Mumbai Indians	Mumbai Indians	SM Pollock	Wankhede Stadium
100	2008	Delhi	5/17/2008	Delhi Daredevils	Kings XI Punjab	Kings XI Punjab	DPMD Jayawardene	Feroz Shah Kotla
101	2008	Jaipur	5/17/2008	Rajasthan Royals	Royal Challengers Bangalore	Rajasthan Royals	GC Smith	Sawai Mansingh Stadium
102	2008	Hyderabad	5/18/2008	Mumbai Indians	Deccan Chargers	Mumbai Indians	DJ Bravo	Rajiv Gandhi International Stadium, Uppal
103	2008	Kolkata	5/18/2008	Kolkata Knight Riders	Chennai Super Kings	Chennai Super Kings	M Ntini	Eden Gardens
104	2008	Bangalore	5/19/2008	Royal Challengers Bangalore	Delhi Daredevils	Delhi Daredevils	SP Goswami	M Chinnaswamy Stadium
105	2008	Kolkata	5/20/2008	Kolkata Knight Riders	Rajasthan Royals	Rajasthan Royals	YK Pathan	Eden Gardens
106	2008	Mumbai	5/21/2008	Kings XI Punjab	Mumbai Indians	Kings XI Punjab	SE Marsh	Wankhede Stadium
107	2008	Chennai	5/21/2008	Royal Challengers Bangalore	Chennai Super Kings	Royal Challengers Bangalore	A Kumble	MA Chidambaram Stadium, Chepauk
108	2008	Chandigarh	5/23/2008	Deccan Chargers	Kings XI Punjab	Kings XI Punjab	SE Marsh	Punjab Cricket Association Stadium, Mohali
109	2008	Delhi	5/24/2008	Mumbai Indians	Delhi Daredevils	Delhi Daredevils	KD Karthik	Feroz Shah Kotla
110	2008	Chennai	5/24/2008	Rajasthan Royals	Chennai Super Kings	Rajasthan Royals	JA Morkel	MA Chidambaram Stadium, Chepauk
111	2008	Bangalore	5/3/2008	Royal Challengers Bangalore	Deccan Chargers	Royal Challengers Bangalore	P Kumar	M Chinnaswamy Stadium
112	2008	Kolkata	5/25/2008	Kings XI Punjab	Kolkata Knight Riders	Kolkata Knight Riders	Umar Gul	Eden Gardens
113	2008	Jaipur	5/26/2008	Mumbai Indians	Rajasthan Royals	Rajasthan Royals	Sohail Tanvir	Sawai Mansingh Stadium
114	2008	Hyderabad	5/27/2008	Deccan Chargers	Chennai Super Kings	Chennai Super Kings	SK Raina	Rajiv Gandhi International Stadium, Uppal
115	2008	Mumbai	5/30/2008	Rajasthan Royals	Delhi Daredevils	Rajasthan Royals	SR Watson	Wankhede Stadium
116	2008	Mumbai	5/31/2008	Kings XI Punjab	Chennai Super Kings	Chennai Super Kings	M Ntini	Wankhede Stadium
117	2008	Mumbai	6/1/2008	Chennai Super Kings	Rajasthan Royals	Rajasthan Royals	YK Pathan	Dr DY Patil Sports Academy
118	2009	Cape Town	4/18/2009	Mumbai Indians	Chennai Super Kings	Mumbai Indians	SR Tendulkar	Newlands
119	2009	Cape Town	4/18/2009	Royal Challengers Bangalore	Rajasthan Royals	Royal Challengers Bangalore	R Dravid	Newlands
120	2009	Cape Town	4/19/2009	Kings XI Punjab	Delhi Daredevils	Delhi Daredevils	DL Vettori	Newlands
121	2009	Cape Town	4/19/2009	Kolkata Knight Riders	Deccan Chargers	Deccan Chargers	RP Singh	Newlands
122	2009	Port Elizabeth	4/20/2009	Chennai Super Kings	Royal Challengers Bangalore	Chennai Super Kings	M Muralitharan	St George's Park
123	2009	Durban	4/21/2009	Kings XI Punjab	Kolkata Knight Riders	Kolkata Knight Riders	CH Gayle	Kingsmead
124	2009	Cape Town	4/22/2009	Deccan Chargers	Royal Challengers Bangalore	Deccan Chargers	AC Gilchrist	Newlands
125	2009	Durban	4/23/2009	Delhi Daredevils	Chennai Super Kings	Delhi Daredevils	AB de Villiers	Kingsmead
126	2009	Cape Town	4/23/2009	Rajasthan Royals	Kolkata Knight Riders	Rajasthan Royals	YK Pathan	Newlands
127	2009	Durban	4/24/2009	Royal Challengers Bangalore	Kings XI Punjab	Kings XI Punjab	RS Bopara	Kingsmead
128	2009	Durban	4/25/2009	Deccan Chargers	Mumbai Indians	Deccan Chargers	PP Ojha	Kingsmead
129	2009	Port Elizabeth	4/26/2009	Royal Challengers Bangalore	Delhi Daredevils	Delhi Daredevils	TM Dilshan	St George's Park
130	2009	Cape Town	4/26/2009	Kings XI Punjab	Rajasthan Royals	Kings XI Punjab	KC Sangakkara	Newlands
131	2009	Durban	4/27/2009	Chennai Super Kings	Deccan Chargers	Deccan Chargers	HH Gibbs	Kingsmead
132	2009	Port Elizabeth	4/27/2009	Mumbai Indians	Kolkata Knight Riders	Mumbai Indians	SR Tendulkar	St George's Park
133	2009	Centurion	4/28/2009	Delhi Daredevils	Rajasthan Royals	Rajasthan Royals	YK Pathan	SuperSport Park
134	2009	Durban	4/29/2009	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	MV Boucher	Kingsmead
135	2009	Durban	4/29/2009	Kings XI Punjab	Mumbai Indians	Kings XI Punjab	KC Sangakkara	Kingsmead
136	2009	Centurion	4/30/2009	Deccan Chargers	Delhi Daredevils	Delhi Daredevils	DP Nannes	SuperSport Park
137	2009	Centurion	4/30/2009	Chennai Super Kings	Rajasthan Royals	Chennai Super Kings	SK Raina	SuperSport Park
138	2009	East London	5/1/2009	Mumbai Indians	Kolkata Knight Riders	Mumbai Indians	JP Duminy	Buffalo Park
139	2009	Durban	5/1/2009	Royal Challengers Bangalore	Kings XI Punjab	Royal Challengers Bangalore	Yuvraj Singh	Kingsmead
140	2009	Port Elizabeth	5/2/2009	Deccan Chargers	Rajasthan Royals	Rajasthan Royals	YK Pathan	St George's Park
141	2009	Johannesburg	5/2/2009	Chennai Super Kings	Delhi Daredevils	Chennai Super Kings	SB Jakati	New Wanderers Stadium
142	2009	Port Elizabeth	5/3/2009	Kolkata Knight Riders	Kings XI Punjab	Kings XI Punjab	DPMD Jayawardene	St George's Park
143	2009	Johannesburg	5/3/2009	Mumbai Indians	Royal Challengers Bangalore	Royal Challengers Bangalore	JH Kallis	New Wanderers Stadium
144	2009	East London	5/4/2009	Chennai Super Kings	Deccan Chargers	Chennai Super Kings	MS Dhoni	Buffalo Park
145	2009	Durban	5/5/2009	Rajasthan Royals	Kings XI Punjab	Rajasthan Royals	GC Smith	Kingsmead
146	2009	Durban	5/5/2009	Kolkata Knight Riders	Delhi Daredevils	Delhi Daredevils	G Gambhir	Kingsmead
147	2009	Centurion	5/6/2009	Deccan Chargers	Mumbai Indians	Deccan Chargers	RG Sharma	SuperSport Park
148	2009	Centurion	5/7/2009	Royal Challengers Bangalore	Rajasthan Royals	Rajasthan Royals	A Singh	SuperSport Park
